id	headline
746	Europe take big Royal Trophy lead
747	Israel to install cameras to show live Mughrabi footage
748	'We lit our last candle yesterday'
749	Google buys YouTube for $1.65bn
750	PSP number one Sony platform in Japan
751	England include Giles in WC squad
752	Beckham 'won't play again for Real'
753	Eight years for Damilola killers
754	PC World editor slain at California home
755	Hands on 'Doomsday Clock' move forward
756	Zach Braff says he has 'mild depression'
757	Investigation of child porn site hits 77 nations USA Today
758	Science panel calls global warming unequivocal
759	News Baby pandas! Baby pandas! Baby pandas!
760	Get ready for the earnings
761	Germany agonizes over a brain drain
762	Iran and Nicaraguan leaders meet
763	Secret hotels in Irish countryside
764	Fine wines in British Columbia
765	Philippine president welcomes Senate approval of anti-terror bill 
766	Small jet crashes on takeoff, killing 2
767	Bigger, more aggressive rats infesting UK
768	Travel+Leisure: Next island hot spot: St. Lucia
769	Real Mallorca rock leaders Sevilla
770	Iran's boast on uranium enrichment is put to test
771	Personal health: for teenagers, the car is the danger zone
772	Bird watchers flock to see rare owl
773	Eye on cosmos is lost to short circuit on hubble
774	Too young for this: facing cancer under 40
775	Unilever group names new chairman
776	Minister slams airlines on carbon
777	Rare optimism as North Korea talks reach crossroads
778	Man beheaded in southern Thailand
779	China's 'nightmare scenario'
780	Annual diving contest in South Korea proves a chilly challenge
781	Blair says he regrets delays in British soldier's inquest
782	Iraqi forces detain official suspected in Shia conspiracy
783	Wellcome awards anti-fat research
784	Fingers crossed for North Korea
785	No intention of war with Iran, US says
786	What Newsom faces in aftermath of scandal
787	Maggie Gyllenhaal's Globes babysitter: Mom
788	As inflation soars, Zimbabwe economy plunges
789	Pledge: I was abused in frat hazing
790	Experts: Fear likely shackled boy
791	What's behind the chopper crashes in Iraq
792	Freed Muslim terror suspect says Britain is "police state"
793	Blair apologises over friendly fire inquest
794	Depp 'to make Litvinenko movie'
795	Why gas follows oil up but not down
796	'Cravings' still there, sez Tara
797	Bill would strip convicted legislators of pensions
798	Bears watch as lead slips away
799	In clue to addiction, brain injury halts smoking
800	In rigorous test, talk therapy works for panic disorder
801	Rice: U.S. won't pull plug on Iraq
802	On road to Kosovo independence, a warning: go slow
803	Mistrial for officer who refused to go to Iraq
804	Rebels to join Nepal parliament
805	EMI warns on profits, boss goes
806	Subway collapse caught on camera
807	Stinky but true: men's sweat is made for love
808	POLITICS-US: reprieve for officer who denounced "Immoral War"
809	Hunters stalk world's tallest trees
810	Fuel spill may lead to missing jet
811	Sri Lanka floods displace 60,000
812	Justin Timberlake, Cameron Diaz announce split
813	Iran to hit US interests if attacked
814	Israel says hopes to keep Lebanon border calm
815	Cisco sues Apple over iPhone name
816	Two Palestinians killed near fence
817	EarthLink CEO dies at age 49
818	A star dies, a family feud is born
819	Carter was a disaster, said Ford
820	Super Bowl MVP Manning insists he's one of the guys
821	Personal health: the importance of knowing what the doctor is talking about
822	Israel's Peretz urges halt to contentious Jerusalem construction
823	Peter Jackson will never work for me again
824	U.S. keeps Iran options open
825	European shares hit fresh highs
826	For women, nothing's like the smell of men's sweat
827	Looking beyond the iPhone
828	Freed kidnap suspect: my terror at police raid
829	Far away, Super Bowl's losers will be champs
830	Woman dies after water binge
831	Mancuso sparks U.S. celebrations
832	ASEAN urges North Korea resolution
833	Late penalty costs Roma the points
834	Mistrial declared in teacher-student rape case
835	'Bookworm Adventures' wordsmith's joy
836	Kylie's love split
837	iPod good for video games
838	Review: virtual 'American Idol' hits right notes
839	Leo battles himself
840	Attorneys point fingers in fight between Ryan O'Neal and son
841	John Grisham set for court drama
842	Bill Gates and Craig Mundie: vista is Secure, employees are not
843	Iraqis fault delayed U.S. plan in attack
844	Boy Scouts blamed for starting wildfire
845	China urges UN action on N Korea
846	Scorpion on a plane, a pantful of pain
847	Male sweat boosts women's hormone levels
848	Mbeki on the big visit from the Chinese
849	French right nominates Sarkozy
850	Israeli, Lebanese clash on border
851	North Korea claims nuclear test
852	Talks begin on Somalia peacekeepers
853	Action games improve eyesight
854	A small part of the brain, and its profound effects
855	IDF shells Lebanese Army positions across northern border
856	Thailand: missing 25 years after taking wrong bus
857	Ballerina sparks anti-fascist row
858	Internet boom in China is built on virtual fun
859	Review: PS3 pricey but impressive
860	Machinery orders drive Asia upward
861	'Lost's' Fox: 'I'm a liar and a cheat'
862	Russia to strengthen its military muscle
863	At Libby trial, Russert of NBC gives and gets
864	North Korea ready to discuss first steps to nuclear resolution
865	Victim: Gunman bought drink after shooting
866	Ferrer victorious in Spanish duel
867	UK workers on alert for letter bombs
868	Did NASA accidentally kill life on Mars?
869	New vaccine for cervical cancer could prove useful in men, too
870	Search on for victims of subway collapse
871	Human error caused Helios crash
872	US to prod NATO allies for more troops to defeat Taliban
873	Microsoft supports OpenID authentication standard
874	No buyer in sight for Napster
875	Briefly: preloaded iPods, Wal-Mart movies, Apple stores
876	China says rich countries should take lead on global warming
877	North Korea may begin to dismantle nukes
878	Tracking down hi-tech crime
879	Barack Obama formally announces bid for president
880	Kidnappers seize two in Nigeria
881	Indonesia may sell, not give, bird flu virus to scientists
882	Attack video saddens "friendly fire" widow
883	Europe retain trophy with big win
884	Cutting edge accessories for digital music players
885	Ice storm descends on central U.S.
886	Snow brings travel misery to England
887	Indonesia flood forces 340,000 from homes
888	Iraqi health minister seized in raid 
889	Ice storm brings chaos in U.S.
890	Stinky flower mystery solved
891	Congressman rebukes U.S. allies for lack of support in Afghanistan 
892	Roddick overcomes Federer in final
893	Prehistoric Romeo and Juliet discovered
894	Donald and Goydos share Sony lead
895	U.S. and Iraqis are wrangling over war plans
896	Sea search for missing Microsoft scientist
897	Iran to Hit US Interests if Attacked
898	Blair: Terror battle will be long
899	Bear cub returned to the wilderness
900	Carrefour sales growth falls short
901	Allied with democrats, Lieberman easily aligns with Republicans
902	In the Rockies, pines die and bears feel it
903	Iran to strike US interests if attacked
904	Nipple covers, other star secrets
905	Apple: no iTunes for you if you have Vista!
906	Smokestacks in a white wilderness divide Iceland
907	That'll cost ya
908	Botched hangings in Iraq speed sectarianism
909	Male sweat raises female hormones
910	7 GOP senators to force debate on troops in Iraq
911	Bangladesh ends curfew amid unrest
912	Italy's dispute with US over Iraq shooting
913	Here come the Globes!
914	Snow causes transport chaos in Britain
915	Snow causes airport closures in Britain
916	Second opinion: girl or boy? as fertility technology advances, so does an ethical debate
917	Heavy snow causes travel chaos and shuts schools
918	Barbaro's legacy: saving other horses
919	Luxury digs in South Carolina's Lowcountry
920	Dozens killed in Baghdad bombing
921	Ice storms kill 21 across nation
922	De Villiers takes over Dakar lead
923	Vietnam becomes WTO's 150th member
924	South African trio share advantage
925	Observatory: poison begets poison
926	Action intensity boosts vision
927	Why the smell of a man's armpit is a turn-on
928	Nokia 5300 Xpress Music
929	Dell to cut bonuses, trim management
930	Second drop in cancer deaths could point to a trend, researchers say
931	TV game shows go interactive
932	Boy missing since 2002 found alive
933	US, North Korea signed nuclear memo
934	Russia honors Sputnik designer
935	In Kenya's capital, a sense that danger is ever stronger
936	Bill, thanks for the RSA memories... and laughs
937	Friendly fire pilot 'experienced'
938	MySpace welcomes French friends
939	Airlines: UK airport runway unsafe
940	The amounts you have to pay for a bomb scare
941	In Egypt, Rice speaks softly
942	Weekly Nielsen Yvonne De Carlo, 'Munsters' star, dead
943	Senate votes to revoke pensions
944	EarthLink CEO dies at age 49
945	Software giant SAP misses target
946	Vital signs: mental abilities: folic acid may improve thinking skills
947	De Villiers stretches overall lead
948	Families celebrate return of sons
949	China detains 2 after body parts found in mail
950	North Korea ready to discuss nuke disarmament
951	For women, nothing's like the smell of men's sweat
952	Nadal wants Australian Open crown
953	Beijing journal: Olympic construction unearths ancient treasure trove
954	Chinese president arrives in Mozambique, African tour nearly over
955	Reclusive 'Mockingbird' author attends show
956	Asia near pact on energy, security
957	Philippine anti-terror law delayed until June
958	Ex-suspect slams anti-terror laws
959	Study detects a gene linked to Alzheimer's
960	Panda cub makes her debut
961	Harris haul puts South Africa on top
962	Weight-loss drug to be sold over the counter
963	Beckham outlines reasons for move
964	Study finds gritty air raises heart disease risk in older women
965	Venezuela, Iran fight U.S. dominance
966	'Housewives' star Marcia Cross on bed rest
967	Blog: Here come the Globes!
968	Greek police hunt embassy attackers
969	Apple warns iTunes users to wait on Vista
970	Tsunami fears ease after quake
971	China considers Eurobond reserves
972	Underarm bowls them over
973	At least 130 die as blast levels Baghdad market
974	New McCain team made attack ads he once faulted
975	Deaths as bird flu flares in Asia
976	Hamas, Fatah leaders pledge to meet until they reach agreement
977	Officers had 'rapport' with alleged abductor
978	No e-Book for Harry Potter VII
979	Review: Nokia 5300 Xpress Music
980	'Can't do this anymore'? Not Jack
981	Black hole triplets spotted
982	Israel weighs old city project webcast
983	Indonesian bird flu deaths hit 61
984	Somali refugees cut off from aid
985	Microsoft downplays Vista speech-recognition hack
986	Next island hot spot: St. Lucia
987	Italy to hold no-show trial of Bronx GI in Iraq slay
988	Rescued boys parents hail 'miracle'
989	Canadians tracked in child porn ring
990	Teen hacks Venezuelan government Web sites
991	Russia plans new ICBMs, nuclear subs
992	Gere cheers sex workers in AIDS fight
993	Study: Male sweat causes female hormones to rise
994	Collision on icy road kills 7
995	Surprise: China cuts price of gas
996	What the Godfather of Soul meant to me
997	New Mars orbiter spots Pathfinder landing site
998	Mass Venezuela opposition rally
999	Glamour -- and 'Borat' -- at Golden Globes
1000	Terror officials see Al Qaeda chiefs regaining power
1001	Ivrea journal: In Italian town, a civics lesson from pelting neighbors
1002	Iraqi sunni lands show new oil and gas promise
1003	Princess and heir of Franz Ferdinand fights to repeal a law and gain a castle
1004	A film star in Kampala, conjuring aminos ghost
1005	Militants attack U.S. base in Iraq
1006	North Africa feared as staging ground for terror
1007	Iran says Sunnis, using Pakistan as base, planned fatal bombing
1008	Anglicans rebuke U.S. branch on same-sex unions
1009	Homemade bombs kill 65 on Indian train
1010	Al Qaeda chiefs are seen to regain power
1011	Chvez threatens to jail violators of price controls
1012	Bush declares Iran's arms role in Iraq is certain
1013	Accord on North Korea is announced
1014	U.S. says powerful Iraqi cleric is living in Iran
1015	Baghdad plan is a success, Iraq prime minister tells Bush
1016	Iraqi sunni lands show new oil and gas promise
1017	Dispute over Iraqi cleric, said to have gone to Iran
1018	Planning seen in Iraqi attacks on U.S. copters
1019	In the world of life-saving drugs, a growing epidemic of deadly fakes
1020	Basics: a mammal in winter with a furnace of her own
1021	Books on science: The problems in modeling nature, with its unruly natural tendencies
1022	Believing scripture but playing by science's rules
1023	A familiar and prescient voice, brought to life
1024	Findings : A cool $25 million for a climate backup plan
1025	Call it serendipity: a missing piece of Washington's war tent is found
1026	Free Will: Now you have it, now you don't
1027	Archaeologists find signs of early chimps' tool use
1028	Wizardry at Harvard: physicists move light
1029	The summit - a slap in the face of the Palestinians
1030	Moscow says Palestine-Israeli contacts key to Mideast peace
1031	Mideast summit edns with little progress
1032	India decries 'an act of sabotage'
1033	Pakistan-India peace talks planned despite bombings
1034	Czechs, Poles get missile warning
1035	Russia warns US against missile bases in East Europe
1036	Cheney starts visit to Japan, Australia
1037	China: Cheney shores up the trilateral alliance
1038	Iraq insurgents attack US base
1039	US soldiers die in day of violence
1040	Iraqi suicide attack kills two US troops as militants fight purge
1041	Iran reneges on nuclear payments to Russia
1042	Top Colombia official resigns
1043	Colombia FM resigns after relatives' arrests for militia links
1044	Foreign minister of Colombia quits in scandal
1045	New Zealand unlikely to allow crippled Japanese whaler
1046	Damaged Japanese whaling ship may resume hunting off Antarctica
1047	Japanese whaling ship won't accept help
1048	Iran top N-envoy heads for Vienna for nuke talks
1049	Victims of Air India still wait for justice
1050	Kanishka bombing case: Inquiry judge threatens to quit
1051	Judge threatens to shut down Air-India inquiry
1052	Royal rescues presidential hopes with commanding performance
1053	Royal seeks to revive French bid
1054	Sarkozy comfort zone offers a royal opportunity
1055	Hicks first in line for trial, Bush says
1056	Australia tells Bush to speed up Guantanamo trial
1057	Howard presses Bush on terror suspect
1058	France ends toxic alert at Canadian embassy in Paris
1059	Paris police investigate package at Canadian embassy
1060	False alarm at Canadian embassy in Paris
1061	Afghan forces retake town that was overrun by Taliban
1062	Taliban seize rural district in southwest as police flee
1063	Afghan poppy war alienates farmers
1064	Will North Korea honor pledge this time?
1065	Kim Jong-il bans Japanese cars in North Korea
1066	Iran vs. North Korea: not all enemies are equal
1067	Catholic archbishop outlines Anglican merger hopes
1068	Anglican and Catholic churches could merge
1069	US helicopter crash kills 8 troops in Afghanistan
1070	Eight US soldiers killed in Zabul helicopter crash
1071	Arroyo lauds passage of anti-terror bill
1072	House passes anti-terrorism measure Manila
1073	Livingstone's transport empire may extend
1074	London is pace-setter on congestion toll, says mayor
1075	Protest greets congestion charge's westward push
1076	Thailand attacks kill three, injure 70
1077	Thai Govt moves to smooth over relations with south
1078	Bombings say Muslim rebels won't negotiate
1079	Roots of autism more complex than thought
1080	Largest ever autism study identifies two genetic culprits
1081	Canadian breakthrough offers hope on autism
1082	Beware of peanut butter pathogens
1083	Experts offer advice on salmonella
1084	Experts issue new heart disease guidelines for women
1085	For women, aspirin a day could keep stroke away
1086	High cholesterol raises stroke risk healthy women
1087	Cooked chicken breasts join tainted-food recalls
1088	Ready to eat chicken breasts recalled due to suspected listeria
1089	Fully-cooked chicken strips recalled 
1090	Committee debates cancer vaccine plan
1091	Stop cancer with a shot
1092	1 mln birds to be vaccinated from bird flu near Moscow
1093	Thousands tested after Russian H5N1 outbreak
1094	Russian bird flu outbreak is deadly "Asian strain"
1095	Bernard Matthews to lay off up to 500 workers
1096	Matthews lays off 130 turkey workers
1097	Reopening bird flu-hitfactory ignores risks - poultryman
1098	Goodbye to girlhood
1099	Media cited for showing girls as sex objects
1100	Sexualisation 'harms' young girls
1101	A shot in the arm
1102	Thousands line up to get late flu shots
1103	King county offering some free flu vaccines
1104	Bush vows cooperation on health care
1105	Health returns as hot issue in '08 race
1106	Small-business owners find Bush health plan appealing
1107	Pediatricians say more cord blood is needed now
1108	Whether to save cord blood can be puzzle for parents
1109	Retinal implant helping blind people see again
1110	Indonesia "will not share" flu samples
1111	Health Canada issues advice on canned tuna
1112	Cholesterol link in diabetes study
1113	Pig cells hope for diabetes cure
1114	Sick hearts switch on a fetal gene
1115	Foetal mechanism helps heart failure
1116	Planned cesareans not risk-free, group warns
1117	Scientists tout cocoa's health benefits
1118	Feeding your brain: new benefits found in chocolate
1119	Some cocoa may improve brain blood flow
1120	Lawyer for deceased Nazi-era collaborator Papon vows to bury him 
1121	Cocoa could be antidote to age-related diseases, says new study
1122	China denies reports of North Korean apology
1123	Hungarian opposition calls for vote after violence escalates
1124	AU regrets Sudan's expulsion of UN envoy 
1125	Bush officials: no big move in Iraq plan 
1126	Opponent is put on the spot over remarks about Clinton
1127	House ethics panel talks to Hastert aide
1128	BellSouth says profit rises 30% on cingular earnings
1129	Enron boss gets 24-year sentence
1130	Sony apologizes for battery recall
1131	Google unveils do-it-yourself search engine
1132	Firefox 2.0 hits the Web
1133	Oracle World opens with Dell unveiling AMD-powered computers
1134	Seahawks' QB Hasselbeck out 2-4 weeks
1135	Marathon winner released from hospital 
1136	Punter charged with stabbing asks to live outside state
1137	Allmendinger joining Toyota team in NASCAR 
1138	Trying to assess the damage in Cleveland 
1139	Bryant's boot may have salvaged Bucs' season
1140	This week in auto racing October 27 - October 29
1141	Merriman violation stuns ex-teammate
1142	Bruce revells in upset
1143	Steelers' Roethlisberger has concussion
1144	Arthurs upsets Robredo in first round at the St. Petersburg Open
1145	Mbeki: 2010 World Cup Planning on Track
1146	Clinical Everton show Moyes means business
1147	MS Adds Office 2007 to Vista Coupon Program
1148	One search does not fit all
1149	Apple's dark secret? The 39% claim
1150	Bad weather cancels men's downhill
1151	Cool millions for YouTube founders
1152	London market a shopping, dining haven
1153	'Jackass' star marries childhood friend The secrets people reveal
1154	Audio Slide Show: A love story lasting 61 years
1155	Microsoft to release next generation phone
1156	Body Shop's Roddick has Hepatitis C
1157	Teen allegedly armed by mom turns self in
1158	Oxfam: action needed for Chad
1159	Violence continues at disputed holy site
1160	Storm leaves behind major travel troubles
1161	3 U.S. troops killed hunting weapons cache
1162	China's 'Friends' highlights Web freedoms
1163	NATO: Afghanistan peace 'by 2009'
1164	Alaska's northern lights captivate Japanese
1165	Smith can't be buried until hearing
1166	Spacewalker sets new U.S. record
1167	Fortune: India the Superpower? Think again
1168	Kerry blasts 'escalation of misguided war'
1169	Anna Nicole claimant: A prince of a guy?
1170	'Ronnie' and Eto'o hug and make up
1171	Best of the Chicago Auto Show
1172	'Grey's,' 'Betty,' 'Scrubs' get boost
1173	Massive mud traps dozens of families
1174	Edwards blogger quits, becomes journalistic martyr
1175	Town packs gym to mourn 10 killed in fire
1176	Spain ahead although Nadal is out
1177	ECB holds rates at 3.5 percent
1178	Iran rejects US claims of supplying weapons in Iraq
1179	Jakarta begins disinfection
1180	Rowling 'heartbroken,' 'euphoric' at 'Potter's' end
1181	Apple revs up Mac attacks on Vista
1182	Fear hinders black marrow donation
1183	Texan allegedly joined Somalia rebel plot
1184	U.S. to allow 7,000 Iraqi refugees
1185	Japan: Whaling activists 'terrorists'
1186	'Hannibal' bites the big one
1187	Women protest Pakistan demolition
1188	Wii news for gamers
1189	Democrats look beyond symbolic vote on Iraq
1190	Portugal to vote on abortion laws
1191	Frustration rises as North Korea nuclear talks stall
1192	Horse teeth give details of ancient big chill
1193	Scam lures victims with free puppy offer
1194	Two Koreas to resume talks
1195	Mickelson driving force at masters
1196	England opt for Bopara over Loye
1197	Create own 'Thrillville' for a wild ride
1198	Edwards' campaign blogger quits amid Catholic controversy
1199	Judge: Preserve Anna Nicole's body
1200	Dolphins, sea lions may report for duty soon
1201	Nasdaq-LSE battle nears deadline
1202	A personal plea for HPV vaccine plan
1203	U.S. opens door for Iraqi refugees
1204	Swiss plane crashes at Moscow airport
1205	Study: napping might help heart
1206	MySpace sales surging
1207	Telecoms giant slashes 12,500 jobs
1208	Air France KLM profit rises
1209	Uganda parliament votes to send troops to Somalia
1210	King and queen reign at British film awards
1211	Murphys rule box office with 'Norbit'
1212	Thousands rally in Lebanon
1213	Yahoo's mission quest
1214	Area should get 3-5 inches of snow today
1215	Miss Brazil wins lawsuit competition
1216	Snow wreaks havoc in East, Midwest
1217	The secrets people reveal
1218	Research supports medicinal marijuana
1219	All African amputee football games kick off
1220	Group: Video shows chopper go down
1221	Sale of Chrysler possible
1222	Russia condemns terrorist acts on buses outside Beirut
1223	Technology may save India's river dolphins
1224	Airbus A380 superjumbo takes off
1225	Naps are great for chaps
1226	Female astronaut sets record
1227	Corn stoves popping up in U.S. homes
1228	Iraq closes borders with Syria and Iran
1229	The troubling ending of 'The Departed'
1230	Vietnamese bank plans IPO listing
1231	Toyota's Scion parks in Second Life
1232	Obama will run in 2008
1233	'Cagney & Lacey' finally coming to DVD
